idx,name,company_code,industry,size,year,established_date,ceo,debt_ratio,assets,sales_growth,current_ratio,quick_ratio,inventory_turnover,receivables_turnover,asset_turnover,fixed_asset_turnover,operating_cf,operating_cf_to_assets,operating_cf_to_debt,industry_avg_roe,industry_avg_roa,industry_avg_debt_ratio,roa,roic,division,employee_growth_rate,roe,operating_cf_to_sales,profit_growth,optl,ffoeq,oeneg,cfoint,accounts_payable_turnover,interest_coverage_ratio,noncurrent_asset_turnover,industry_avg_pd,pd,score,grade
2529,경남스틸(주),039240,제조업,중견기업,2021,1990-11-15,최석우,74.76719673,162028047.0,15.04631964,158.9483517,94.00041603,906.0168565,594.9175903,227.6330505,784.7717911,3914263.0,2.415793483,5.646880897,-82.76486438,2.859484577,296.1260635,3.783214149,,상장,9.89,6.784288847,1.143547354,30.93926511,9.951316886,4.222014549,0,649.0723068,8.490495776,12.24885956,636.1883335,4.5,0.24,792,A
2529,경남스틸(주),039240,제조업,중견기업,2022,1990-11-15,최석우,62.40057525,168121776.0,21.333144,182.9530713,102.6518198,813.4550434,654.942539,251.5904938,999.6576886,6270863.0,3.729952865,9.707386267,6.700285441,3.030629599,292.8512353,5.745974275,,상장,0.0,9.845643014,1.509913305,65.20936564,17.64134091,6.057464873,0,743.5015407,7.974958555,14.15379946,811.8986963,4.39,0.22,805,A
2529,경남스틸(주),039240,제조업,중견기업,2023,1990-11-15,최석우,49.93637414,161754716.0,-6.021123573,209.2971072,,751.6718942,594.1317775,236.6378317,958.6296896,1074013.0,0.663976313,1.993620936,13.13683595,2.817590129,148.4047922,5.287066252,,상장,6.0,8.090701374,0.275171841,-5.884289103,19.90910646,0.995542009,0,99.99934824,8.570453418,10.54993855,780.9355573,3.7,0.36,742,A
2534,인포뱅크(주),039290,정보통신업,중견기업,2021,1995-06-14,박태형,37.31949925,89948176.0,15.87751462,175.9432025,174.9462822,,910.5287158,167.7149084,576.9818225,9239179.0,10.2716691,37.79526751,4.030201343,0.139237987,311.5527104,9.837861526,4.779331883,상장,5.81,14.4690465,6.666316582,560.1504606,16.06734913,14.10500457,0,104788.2386,13.59384568,503.2718612,288.8743654,4.39,0.21,806,A
2534,인포뱅크(주),039290,정보통신업,중견기업,2022,1995-06-14,박태형,38.63659945,89136158.0,1.139656136,154.0788779,153.4527537,3726187.91,864.3232909,156.5457635,631.0384724,4596703.0,5.1569454,18.50425182,22.83411398,-6.275951607,111.6887758,1.45082762,-0.536156759,상장,-3.05,1.992658296,3.279272633,-108.8005322,-1.391471167,7.149413658,0,102308.1015,13.28479289,43.50767861,269.8193797,4.14,1.49,565,B
2534,인포뱅크(주),039290,정보통신업,중견기업,2023,1995-06-14,박태형,29.41602731,100772840.0,-2.363625148,182.9072903,182.6887602,3689985.373,892.4474515,144.1335286,738.5959996,-3139615.0,-3.115536885,-13.70682731,12.83769706,-8.323399647,199.244902,5.901545496,-2.229737085,상장,13.84,8.366718794,-2.294012762,536.3452526,-9.602901628,-4.032004066,0,-39934.04986,12.94225542,-212.6067158,237.505848,5.98,5.55,398,B
2537,(주)세중,039310,정보통신업,중견기업,2021,1995-12-07,천신일 / 김기백,51.10894346,132041952.0,19.93142524,213.3543831,178.8972299,3238.475177,821.4112876,125.9102371,500.994982,5405255.0,4.093589134,12.10312496,4.030201343,0.139237987,311.5527104,3.375046288,5.023644557,상장,76.19,5.247277908,3.419106736,204.0443901,10.93077149,6.185779291,0,2143.785497,11.27424067,21.78394993,343.6395547,4.39,0.21,808,A
2537,(주)세중,039310,정보통신업,중견기업,2022,1995-12-07,천신일 / 김기백,46.23419246,129735735.0,-73.35432066,234.4241202,221.0638998,1068.392831,298.3914803,32.18308671,132.2963686,914048.0,0.704546053,2.228409703,22.83411398,-6.275951607,111.6887758,2.839704882,-2.649317169,상장,0.54,4.184119726,2.169894789,-153.6137135,-6.380745347,1.030287231,0,305.7599609,3.96613776,-7.267790181,90.50902681,4.14,2.01,528,B
2537,(주)세중,039310,정보통신업,중견기업,2023,1995-12-07,천신일 / 김기백,29.40191178,131031483.0,-13.82402033,355.8110606,334.7053219,1222.993158,613.3383165,27.84155944,113.6183894,-7905211.0,-6.033062298,-26.55234806,12.83769706,-8.323399647,199.244902,10.50206842,0.765077025,상장,-32.8,14.48702653,-21.77694284,-145.1332715,3.967634475,-7.806897953,0,-2224.301214,13.33455728,4.498643789,74.18303155,5.98,6.37,380,B
25365,(주)토마토시스템,393210,정보통신업,중소기업,2021,2000-10-27,조길주,314.4677345,11540050.0,,99.47093186,,,,,,1628813.0,14.11443625,18.60279378,4.030201343,0.139237987,311.5527104,11.14012504,,상장,,,7.126374533,,17.0532053,58.49978415,0,1693.117607,,18.47275524,,4.39,0.18,828,A
25365,(주)토마토시스템,393210,정보통신업,중소기업,2022,2000-10-27,조길주,36.07128919,17321124.0,18.52371382,418.8992861,,,1433.611263,187.7257453,,5742929.0,33.15563701,125.0726097,22.83411398,-6.275951607,111.6887758,26.42028889,,상장,19.07,58.99656524,21.19949973,399.4495474,162.4125047,45.11530272,0,4786.611824,34.29841286,64.42132373,555.9046197,4.14,0.14,858,A
25365,(주)토마토시스템,393210,정보통신업,중소기업,2023,2000-10-27,조길주,26.04528881,37529865.0,-1.910425968,545.1658591,,,1291.84978,96.88938881,,4680953.0,12.47260815,60.36076266,12.83769706,-8.323399647,199.244902,8.764507946,,상장,-15.62,15.47751121,17.61584974,-62.12294112,36.42397898,15.72113496,0,46401.19944,7.689021234,307.269429,471.2304275,5.98,0.11,891,A
2540,(주)한국경제티브이,039340,정보통신업,중견기업,2021,1999-08-31,현승윤,23.10072326,190799497.0,25.87161655,347.8161616,347.4176312,,1614.362511,65.38725095,1066.734709,22274581.0,11.67433948,62.21102331,4.030201343,0.139237987,311.5527104,13.29392865,13.25864396,상장,4.55,17.30181899,18.65217681,45.93480493,74.10942721,14.37119633,0,10490.69643,,130.1758043,146.8436978,4.39,0.19,818,A
2540,(주)한국경제티브이,039340,정보통신업,중견기업,2022,1999-08-31,현승윤,15.95683813,194850624.0,-25.82064255,663.2744019,662.6957158,,1116.026428,45.94091181,424.2010889,-279488.0,-0.143437057,-1.042343566,22.83411398,-6.275951607,111.6887758,7.086427396,4.207530548,상장,5.31,8.548970837,-0.31550052,-68.20843127,31.46120391,-0.166325076,0,-57.49930052,,26.53591855,101.0225671,4.14,1.47,567,B
